STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_FSCS,GEOCODE,STARTDAT,ENDDATE,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,CNTYPOP,LOCALE_ADD
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,KENAI PENINSULA,Y,CI1,07/01/2018,06/30/2019,2057,1,0,0,0,0.68,0,0.68,0,11993,0,40548,52541,-9,-9,-9,2791,500,749,4040,-9,53155,0,0,0,0,0,0,18710,0,180,0,3510,0,0,49,49,12,1390,5142,5,1804,7784,1425,0,7784,1585,1585,9369,0,14,38,36,0,451,437,0,5,1340,1164,-1,2019,8,1,0,0,0,58708,43
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,Y,MA1,01/01/2018,12/31/2018,295365,1,4,0,24.7,29.7,44.5,74.2,13618333,35000,132269,267175,14052777,3537968,2989688,6527656,548838,364040,139750,1052628,4370276,11950560,0,0,0,0,0,0,343151,20844,26208,13099,61569,0,14,49,63,688,11076,748395,78883,135828,2119343,474681,909518,1209825,562938,1472456,2682281,1777,1606,2506,1320,347,61226,44545,3458,161,112758,110348,1551748,2019,8,1,0,0,0,288000,11
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,Y,CI1,07/01/2018,06/30/2019,269,1,0,0,0,0,0.25,0.25,5000,7000,0,967,12967,-9,-9,-9,2279,220,1473,3972,-9,12367,0,0,0,0,0,0,15414,0,262,0,1353,0,0,49,49,0,480,1250,325,130,1194,0,0,1194,460,460,1654,0,0,10,8,1,40,20,10,5,288,0,-1,2019,8,1,0,0,0,2097,43
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,BETHEL,Y,CI1,07/01/2018,06/30/2019,6135,1,0,0,1,2,3,5,86365,77982,2750,7000,174097,108800,53900,162700,4747,1675,764,7186,4211,174097,0,0,0,0,0,0,35284,20844,426,13099,2923,0,0,49,49,0,2040,48000,1700,1824,10770,1260,1502,9268,4727,6229,15497,6,5,343,205,27,8668,3281,215,8,7380,5977,-1,2019,8,2,0,0,0,18386,33
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,Y,CO1,07/01/2018,06/30/2019,8736,1,0,0,0,1,2,3,366819,8250,1250,0,376319,182978,90687,273665,20955,0,982,21937,71213,366815,0,0,0,0,0,0,29586,20846,2268,13486,4043,0,0,49,49,45,2551,50745,606,3157,29525,12402,5091,24434,6732,11823,36257,91,80,375,160,36,5933,3326,988,13,8349,4447,-1,2019,8,1,0,0,0,108317,42
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,Y,CI1,07/01/2018,06/30/2019,202,1,0,0,0,0.8,0,0.8,5690,7000,6313,3358,22361,-9,-9,-9,4695,320,1045,6060,-9,21523,0,0,0,0,0,0,10627,20844,299,13099,592,0,0,49,49,0,720,2300,350,182,2553,1097,58,2495,356,414,2909,6,20,43,30,5,489,119,60,1,45,100,0,2019,8,1,0,0,0,2097,43
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,N,CI1,07/01/2018,06/30/2019,44,1,0,0,0,0,0,0,0,7000,2063,0,9063,-9,-9,-9,3309,448,752,4509,-9,7000,0,0,0,0,0,0,2800,20,0,0,377,0,0,49,49,17,144,220,0,45,693,298,32,661,34,66,727,0,0,9,9,0,84,84,0,2,48,250,-1,2019,8,1,0,0,0,12998,43
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,ALEUTIANS EAST,Y,CI1,07/01/2018,06/30/2019,63,1,0,0,0,0.5,0,0.5,22000,10120,2117,33480,67717,-9,-9,-9,1769,0,2878,4647,-9,65071,0,0,0,0,0,0,2010,0,446,0,1493,0,0,49,49,0,786,1044,28,77,381,106,0,381,49,49,430,0,0,38,27,0,349,206,0,2,192,992,-1,2019,8,2,0,0,0,3337,43
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,N,CI1,07/01/2018,06/30/2019,265,1,0,0,0,0,0,0,1260,8804,1250,13426,24740,-9,-9,-9,4153,0,733,4886,-9,14846,0,0,0,0,0,0,4324,0,0,0,900,0,0,49,49,0,1092,2455,73,827,2332,623,0,2332,204,204,2536,0,69,7,1,0,57,10,0,4,280,350,1747,2019,8,1,0,0,0,58708,43
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,Y,CI1,01/01/2018,12/31/2018,2360,1,0,0,0,3,2,5,732864,8049,0,0,740913,382651,207092,589743,8237,3725,540,12502,145137,747382,0,0,0,0,0,0,18531,20844,569,13099,1379,0,0,49,49,46,2380,19384,668,2675,14446,4830,2622,11824,1819,4441,16265,0,185,236,118,40,3708,2821,193,6,5914,8084,4013,2019,8,1,0,0,0,9202,43
